run_id,run_tag,method,dataset,num_clients,partition,dirichlet_alpha,rounds,client_num_gpus,metrics_csv
e12c14ae3afd,fedavg_mnist_C10_dirichlet_a0.1,fedavg,mnist,10,dirichlet,0.1,20,0.5,results/runs/fedavg_mnist_C10_dirichlet_a0.1_e12c14ae3afd.csv
fd46f1bbc394,fedavg_mnist_C10_dirichlet_a0.5,fedavg,mnist,10,dirichlet,0.5,20,0.5,results/runs/fedavg_mnist_C10_dirichlet_a0.5_fd46f1bbc394.csv
fe4c5590d191,fedavg_mnist_C10_dirichlet_a1.0,fedavg,mnist,10,dirichlet,1.0,20,0.5,results/runs/fedavg_mnist_C10_dirichlet_a1.0_fe4c5590d191.csv
8b517189d5f4,fedavg_mnist_C50_iid,fedavg,mnist,50,iid,,20,0.5,results/runs/fedavg_mnist_C50_iid_8b517189d5f4.csv
196bcb270fa6,fedavg_mnist_C50_dirichlet_a0.01,fedavg,mnist,50,dirichlet,0.01,20,0.5,results/runs/fedavg_mnist_C50_dirichlet_a0.01_196bcb270fa6.csv
ae2bfaca40fa,fedavg_mnist_C50_dirichlet_a0.1,fedavg,mnist,50,dirichlet,0.1,20,0.5,results/runs/fedavg_mnist_C50_dirichlet_a0.1_ae2bfaca40fa.csv
d7198a628788,fedavg_mnist_C50_dirichlet_a0.5,fedavg,mnist,50,dirichlet,0.5,20,0.5,results/runs/fedavg_mnist_C50_dirichlet_a0.5_d7198a628788.csv
48853e80c9c6,fedavg_fmnist_C10_dirichlet_a1.0,fedavg,fmnist,10,dirichlet,1.0,20,0.5,results/runs/fedavg_fmnist_C10_dirichlet_a1.0_48853e80c9c6.csv
af78041fa46d,fedavg_fmnist_C50_iid,fedavg,fmnist,50,iid,,20,0.5,results/runs/fedavg_fmnist_C50_iid_af78041fa46d.csv
789c0a499800,fedavg_fmnist_C50_dirichlet_a0.01,fedavg,fmnist,50,dirichlet,0.01,20,0.5,results/runs/fedavg_fmnist_C50_dirichlet_a0.01_789c0a499800.csv
761910c81527,fedavg_fmnist_C50_dirichlet_a0.1,fedavg,fmnist,50,dirichlet,0.1,20,0.5,results/runs/fedavg_fmnist_C50_dirichlet_a0.1_761910c81527.csv
042279e39333,fedavg_fmnist_C50_dirichlet_a0.5,fedavg,fmnist,50,dirichlet,0.5,20,0.5,results/runs/fedavg_fmnist_C50_dirichlet_a0.5_042279e39333.csv
9e121241fbbe,fedavg_fmnist_C50_dirichlet_a1.0,fedavg,fmnist,50,dirichlet,1.0,20,0.5,results/runs/fedavg_fmnist_C50_dirichlet_a1.0_9e121241fbbe.csv
5149aded5f43,fedavg_fmnist_C100_iid,fedavg,fmnist,100,iid,,20,0.5,results/runs/fedavg_fmnist_C100_iid_5149aded5f43.csv
068e247460e6,fedavg_fmnist_C100_dirichlet_a0.01,fedavg,fmnist,100,dirichlet,0.01,20,1.0,results/runs/fedavg_fmnist_C100_dirichlet_a0.01_068e247460e6.csv
0b5cba04b62c,fedavg_fmnist_C100_dirichlet_a0.1,fedavg,fmnist,100,dirichlet,0.1,20,1.0,results/runs/fedavg_fmnist_C100_dirichlet_a0.1_0b5cba04b62c.csv
cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5,fedavg,fmnist,100,dirichlet,0.5,20,1.0,results/runs/fedavg_fmnist_C100_dirichlet_a0.5_cd91f909a703.csv
a89f3e980742,fedavg_fmnist_C100_dirichlet_a1.0,fedavg,fmnist,100,dirichlet,1.0,20,1.0,results/runs/fedavg_fmnist_C100_dirichlet_a1.0_a89f3e980742.csv
a33df62a3ea6,fedavg_cifar10_C10_iid,fedavg,cifar10,10,iid,,20,1.0,results/runs/fedavg_cifar10_C10_iid_a33df62a3ea6.csv
30bc590e74e2,fedavg_cifar10_C10_dirichlet_a0.01,fedavg,cifar10,10,dirichlet,0.01,20,1.0,results/runs/fedavg_cifar10_C10_dirichlet_a0.01_30bc590e74e2.csv
bcd31c1eae6a,fedavg_cifar10_C10_dirichlet_a0.1,fedavg,cifar10,10,dirichlet,0.1,20,1.0,results/runs/fedavg_cifar10_C10_dirichlet_a0.1_bcd31c1eae6a.csv
edc50f76c7aa,fedavg_cifar10_C10_dirichlet_a0.5,fedavg,cifar10,10,dirichlet,0.5,20,1.0,results/runs/fedavg_cifar10_C10_dirichlet_a0.5_edc50f76c7aa.csv
205a093ebf69,fedavg_cifar10_C10_dirichlet_a1.0,fedavg,cifar10,10,dirichlet,1.0,20,1.0,results/runs/fedavg_cifar10_C10_dirichlet_a1.0_205a093ebf69.csv
7f74570a1100,fedavg_cifar10_C50_iid,fedavg,cifar10,50,iid,,20,1.0,results/runs/fedavg_cifar10_C50_iid_7f74570a1100.csv
abb59b398da7,fedavg_cifar10_C50_dirichlet_a0.01,fedavg,cifar10,50,dirichlet,0.01,20,1.0,results/runs/fedavg_cifar10_C50_dirichlet_a0.01_abb59b398da7.csv
02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1,fedavg,cifar10,50,dirichlet,0.1,20,1.0,results/runs/fedavg_cifar10_C50_dirichlet_a0.1_02af84d3bd4e.csv
e784685ef8cf,fedavg_cifar10_C50_dirichlet_a0.5,fedavg,cifar10,50,dirichlet,0.5,20,1.0,results/runs/fedavg_cifar10_C50_dirichlet_a0.5_e784685ef8cf.csv
