round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round,run_id,run_tag
5,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.768132558822632,0.3105,0.621,0.0,-0.0095999999999999,0.1484,0.569,,120724000,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
6,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.092350001335144,0.3128,0.6256,0.0,-0.0046,0.1484,0.5736,,144868800,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
7,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.966388304615021,0.3241,0.6482,0.0,-0.0225999999999999,0.1484,0.5962,,169013600,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
8,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.092971934938431,0.3304,0.6608,0.0,-0.0126,0.1484,0.6088,,193158400,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
9,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.203849271678925,0.3179,0.6358,0.0,0.025,0.1484,0.5838,,217303200,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
10,flwf2,cifar10,100,dirichlet,0.5,1,0,1,4.116143013334274,0.3309,0.6618,0.0,-0.001,0.1484,0.6098,,241448000,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
11,flwf2,cifar10,100,dirichlet,0.5,2,1,0,4.083437309074402,0.3311,0.6622,0.0,-0.0003999999999999,0.1484,0.6102,,265592800,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
12,flwf2,cifar10,100,dirichlet,0.5,2,0,0,4.052302761459351,0.3309,0.6618,0.0,0.0003999999999999,0.1484,0.6098,,289737600,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
13,flwf2,cifar10,100,dirichlet,0.5,2,0,0,4.022496966171265,0.3312,0.6624,0.0,-0.0001999999999999,0.1484,0.6103999999999999,,313882400,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
14,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.9924710155963896,0.3315,0.663,0.0,-0.0006,0.1484,0.611,,338027200,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
15,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.963719708538056,0.3312,0.6624,0.0,0.0006,0.1484,0.6103999999999999,,362172000,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
16,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.935318905544281,0.3309,0.6618,0.0,0.0011999999999999,0.1484,0.6098,,386316800,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
17,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.908419185352325,0.3311,0.6622,0.0,0.0008,0.1484,0.6102,,410461600,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
18,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.881592719936371,0.3308,0.6616,0.0,0.0014,0.1484,0.6095999999999999,,434606400,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
19,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.854992994689941,0.3304,0.6608,0.0,0.0021999999999999,0.1484,0.6088,,458751200,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
20,flwf2,cifar10,100,dirichlet,0.5,2,0,1,3.829106306838989,0.3301,0.6602,0.0,0.0028,0.1484,0.6082,,482896000,241448,50,c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5
0,fedavg,mnist,10,iid,,1,0,0,2.3002485538482667,0.0852,0.001362132710644,0.1738325447438798,0.0,0.0,,,0,239144,5,cb1e95228275,fedavg_mnist_C10_iid
1,fedavg,mnist,10,iid,,1,1,0,7.403016655851156,0.5095,0.9914380229616656,0.0,-0.9900758902510216,0.1738325447438798,0.9900758902510216,,2391440,239144,5,cb1e95228275,fedavg_mnist_C10_iid
